,device_name,mac_addr,eddystone_instance_id,rssi,timestamp
2021-04-23 19:04:26.457,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-91.0,2021-04-23 19:04:26.457
2021-04-23 19:04:26.461,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-46.0,2021-04-23 19:04:26.461
2021-04-23 19:04:26.466,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-83.0,2021-04-23 19:04:26.466
2021-04-23 19:04:26.861,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-81.0,2021-04-23 19:04:26.861
2021-04-23 19:04:26.881,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-43.0,2021-04-23 19:04:26.881
2021-04-23 19:04:26.897,AgileVision Beacon,C1:E2:F7:D0:6B:8C,000000000006,-86.0,2021-04-23 19:04:26.897
2021-04-23 19:04:26.913,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-95.0,2021-04-23 19:04:26.913
2021-04-23 19:04:27.228,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-92.0,2021-04-23 19:04:27.228
2021-04-23 19:04:27.284,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-81.0,2021-04-23 19:04:27.284
2021-04-23 19:04:27.300,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-42.0,2021-04-23 19:04:27.300
2021-04-23 19:04:27.311,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-83.0,2021-04-23 19:04:27.311
2021-04-23 19:04:27.333,AgileVision Beacon,C1:E2:F7:D0:6B:8C,000000000006,-96.0,2021-04-23 19:04:27.333
2021-04-23 19:04:27.646,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-93.0,2021-04-23 19:04:27.646
2021-04-23 19:04:27.706,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-83.0,2021-04-23 19:04:27.706
2021-04-23 19:04:27.710,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-43.0,2021-04-23 19:04:27.710
2021-04-23 19:04:27.733,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-82.0,2021-04-23 19:04:27.733
2021-04-23 19:04:28.047,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-82.0,2021-04-23 19:04:28.047
2021-04-23 19:04:28.071,AgileVision Beacon,E6:19:C3:98:50:7C,000000000004,-99.0,2021-04-23 19:04:28.071
2021-04-23 19:04:28.078,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-92.0,2021-04-23 19:04:28.078
2021-04-23 19:04:28.111,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-82.0,2021-04-23 19:04:28.111
2021-04-23 19:04:28.138,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-42.0,2021-04-23 19:04:28.138
2021-04-23 19:04:28.219,AgileVision Beacon,E6:19:C3:98:50:7C,000000000004,-96.0,2021-04-23 19:04:28.219
2021-04-23 19:04:28.449,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-42.0,2021-04-23 19:04:28.449
2021-04-23 19:04:28.465,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-81.0,2021-04-23 19:04:28.465
2021-04-23 19:04:28.499,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-93.0,2021-04-23 19:04:28.499
2021-04-23 19:04:28.532,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-82.0,2021-04-23 19:04:28.532
2021-04-23 19:04:28.692,AgileVision Beacon,E6:19:C3:98:50:7C,000000000004,-96.0,2021-04-23 19:04:28.692
2021-04-23 19:04:28.744,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-83.0,2021-04-23 19:04:28.744
2021-04-23 19:04:28.871,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-43.0,2021-04-23 19:04:28.871
2021-04-23 19:04:28.890,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-81.0,2021-04-23 19:04:28.890
2021-04-23 19:04:28.921,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-91.0,2021-04-23 19:04:28.921
2021-04-23 19:04:29.175,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-84.0,2021-04-23 19:04:29.175
2021-04-23 19:04:29.224,AgileVision Beacon,E6:19:C3:98:50:7C,000000000004,-95.0,2021-04-23 19:04:29.224
2021-04-23 19:04:29.290,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-42.0,2021-04-23 19:04:29.290
2021-04-23 19:04:29.307,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-81.0,2021-04-23 19:04:29.307
2021-04-23 19:04:29.330,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-90.0,2021-04-23 19:04:29.330
2021-04-23 19:04:29.700,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-85.0,2021-04-23 19:04:29.700
2021-04-23 19:04:29.709,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-42.0,2021-04-23 19:04:29.709
2021-04-23 19:04:29.720,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-81.0,2021-04-23 19:04:29.720
2021-04-23 19:04:29.736,AgileVision Beacon,E6:19:C3:98:50:7C,000000000004,-96.0,2021-04-23 19:04:29.736
2021-04-23 19:04:29.740,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-90.0,2021-04-23 19:04:29.740
2021-04-23 19:04:29.973,AgileVision Beacon,C1:E2:F7:D0:6B:8C,000000000006,-97.0,2021-04-23 19:04:29.973
2021-04-23 19:04:30.046,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-81.0,2021-04-23 19:04:30.046
2021-04-23 19:04:30.067,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-90.0,2021-04-23 19:04:30.067
2021-04-23 19:04:30.125,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-42.0,2021-04-23 19:04:30.125
2021-04-23 19:04:30.134,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-84.0,2021-04-23 19:04:30.134
2021-04-23 19:04:30.477,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-90.0,2021-04-23 19:04:30.477
2021-04-23 19:04:30.545,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-85.0,2021-04-23 19:04:30.545
2021-04-23 19:04:30.550,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-42.0,2021-04-23 19:04:30.550
2021-04-23 19:04:30.554,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-81.0,2021-04-23 19:04:30.554
2021-04-23 19:04:30.874,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-42.0,2021-04-23 19:04:30.874
2021-04-23 19:04:30.878,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-81.0,2021-04-23 19:04:30.878
2021-04-23 19:04:30.899,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-89.0,2021-04-23 19:04:30.899
2021-04-23 19:04:30.903,AgileVision Beacon,C1:E2:F7:D0:6B:8C,000000000006,-96.0,2021-04-23 19:04:30.903
2021-04-23 19:04:30.907,AgileVision Beacon,E6:19:C3:98:50:7C,000000000004,-93.0,2021-04-23 19:04:30.907
2021-04-23 19:04:30.969,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-86.0,2021-04-23 19:04:30.969
2021-04-23 19:04:31.070,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-42.0,2021-04-23 19:04:31.070
2021-04-23 19:04:31.235,AgileVision Beacon,C1:E2:F7:D0:6B:8C,000000000006,-96.0,2021-04-23 19:04:31.235
2021-04-23 19:04:31.241,AgileVision Beacon,E6:19:C3:98:50:7C,000000000004,-93.0,2021-04-23 19:04:31.241
2021-04-23 19:04:31.289,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-86.0,2021-04-23 19:04:31.289
2021-04-23 19:04:31.297,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-80.0,2021-04-23 19:04:31.297
2021-04-23 19:04:31.326,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-88.0,2021-04-23 19:04:31.326
2021-04-23 19:04:31.703,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-86.0,2021-04-23 19:04:31.703
2021-04-23 19:04:31.711,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-42.0,2021-04-23 19:04:31.711
2021-04-23 19:04:31.715,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-80.0,2021-04-23 19:04:31.715
2021-04-23 19:04:31.732,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-87.0,2021-04-23 19:04:31.732
2021-04-23 19:04:31.742,AgileVision Beacon,E6:19:C3:98:50:7C,000000000004,-92.0,2021-04-23 19:04:31.742
2021-04-23 19:04:31.747,AgileVision Beacon,C1:E2:F7:D0:6B:8C,000000000006,-94.0,2021-04-23 19:04:31.747
2021-04-23 19:04:32.013,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-43.0,2021-04-23 19:04:32.013
2021-04-23 19:04:32.019,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-82.0,2021-04-23 19:04:32.019
2021-04-23 19:04:32.064,AgileVision Beacon,E6:19:C3:98:50:7C,000000000004,-97.0,2021-04-23 19:04:32.064
2021-04-23 19:04:32.137,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-82.0,2021-04-23 19:04:32.137
2021-04-23 19:04:32.159,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-90.0,2021-04-23 19:04:32.159
2021-04-23 19:04:32.176,AgileVision Beacon,C1:E2:F7:D0:6B:8C,000000000006,-86.0,2021-04-23 19:04:32.176
2021-04-23 19:04:32.264,AgileVision Beacon,E6:19:C3:98:50:7C,000000000004,-97.0,2021-04-23 19:04:32.264
2021-04-23 19:04:32.486,AgileVision Beacon,C1:E2:F7:D0:6B:8C,000000000006,-86.0,2021-04-23 19:04:32.486
2021-04-23 19:04:32.534,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-44.0,2021-04-23 19:04:32.534
2021-04-23 19:04:32.542,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-81.0,2021-04-23 19:04:32.542
2021-04-23 19:04:32.557,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-82.0,2021-04-23 19:04:32.557
2021-04-23 19:04:32.574,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-91.0,2021-04-23 19:04:32.574
2021-04-23 19:04:32.783,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-91.0,2021-04-23 19:04:32.783
2021-04-23 19:04:32.792,AgileVision Beacon,E6:19:C3:98:50:7C,000000000004,-98.0,2021-04-23 19:04:32.792
2021-04-23 19:04:32.861,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-81.0,2021-04-23 19:04:32.861
2021-04-23 19:04:32.918,AgileVision Beacon,C1:E2:F7:D0:6B:8C,000000000006,-87.0,2021-04-23 19:04:32.918
2021-04-23 19:04:32.961,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-43.0,2021-04-23 19:04:32.961
2021-04-23 19:04:32.972,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-82.0,2021-04-23 19:04:32.972
2021-04-23 19:04:33.292,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-82.0,2021-04-23 19:04:33.292
2021-04-23 19:04:33.304,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-91.0,2021-04-23 19:04:33.304
2021-04-23 19:04:33.310,AgileVision Beacon,E6:19:C3:98:50:7C,000000000004,-100.0,2021-04-23 19:04:33.310
2021-04-23 19:04:33.326,AgileVision Beacon,C1:E2:F7:D0:6B:8C,000000000006,-87.0,2021-04-23 19:04:33.326
2021-04-23 19:04:33.383,AgileVision Beacon,D9:77:0F:A8:70:38,000000000002,-42.0,2021-04-23 19:04:33.383
2021-04-23 19:04:33.394,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-81.0,2021-04-23 19:04:33.394
2021-04-23 19:04:33.605,AgileVision Beacon,C8:7E:06:A7:D7:3E,000000000001,-82.0,2021-04-23 19:04:33.605
2021-04-23 19:04:33.629,AgileVision Beacon,E6:19:C3:98:50:7C,000000000004,-97.0,2021-04-23 19:04:33.629
